subject_id,step,angle,translation,GD_EP,CD_EP,GD_IP,CD_IP
fCMR_Siemens_113,30,2.9436,1.8089,0.1769,12.1764,0.2016,26.4656
fCMR_Siemens_027,30,0.8878,2.7433,0.2487,0.8449,0.3386,4.4726
fCMR_Siemens_006,30,2.1198,0.489,0.2213,3.5242,0.2685,8.8901
fCMR_Siemens_144,30,2.6745,2.0116,0.2634,4.1622,0.2684,9.7429
fCMR_Siemens_068,30,3.0254,1.8133,0.2594,3.4018,0.2891,9.0821
fCMR_Siemens_198,30,1.7987,2.0138,0.1885,1.2705,0.1983,3.0986
fCMR_Siemens_018,31,2.8737,2.794,0.3054,1.1659,0.334,3.6726
fCMR_Siemens_113,31,2.5765,2.086,0.1109,3.1642,0.1397,7.4538
fCMR_Siemens_027,31,2.5915,0.2368,0.3008,1.3679,0.3187,5.7356
fCMR_Siemens_006,31,3.069,2.7241,0.3082,4.2766,0.8271,12.3501
fCMR_Siemens_144,31,2.3907,3.9404,0.1111,0.1137,0.3256,1.3628
fCMR_Siemens_068,31,2.1639,2.918,0.8224,0.2171,0.8281,1.4848
fCMR_Siemens_198,31,2.5281,1.3241,0.2529,1.3608,0.2685,3.8614
fCMR_Siemens_018,32,3.0581,2.688,0.1943,0.9798,0.2501,3.544
fCMR_Siemens_113,32,1.7888,2.7443,0.0997,5.7959,0.1338,13.3824
fCMR_Siemens_027,32,2.5548,2.8747,0.2945,1.3009,0.3564,5.1452
fCMR_Siemens_006,32,2.9178,2.8518,0.2174,5.0939,0.29,13.6657
fCMR_Siemens_144,32,2.4055,1.7805,0.1431,2.5868,0.149,6.0052
fCMR_Siemens_068,32,2.3264,2.3596,0.7375,4.5332,0.7528,13.9096
fCMR_Siemens_198,32,1.2908,2.6499,0.2953,1.5416,0.3156,4.8366
fCMR_Siemens_018,33,1.8664,3.0474,0.5261,1.606,0.5361,4.5555
fCMR_Siemens_113,33,2.7027,2.9494,0.0722,8.944,0.1095,19.2003
fCMR_Siemens_027,33,2.6554,0.5593,0.1496,1.7278,0.2553,5.3559
fCMR_Siemens_006,33,1.3358,2.7896,0.8942,0.4305,1.3383,6.7732
fCMR_Siemens_144,33,2.0391,2.3985,0.1541,3.3665,0.1724,7.504
fCMR_Siemens_068,33,1.3154,3.83,0.4639,4.3205,0.5029,12.6724
fCMR_Siemens_198,33,2.7254,2.5748,0.1823,1.0908,0.2169,3.055
fCMR_Siemens_018,34,2.4187,1.8465,0.2473,0.6634,0.2607,2.5682
fCMR_Siemens_113,34,1.6994,2.888,0.0469,7.4795,0.0784,15.8136
fCMR_Siemens_027,34,1.9415,0.6014,0.2447,3.6378,0.2998,9.7062
fCMR_Siemens_006,34,1.4279,1.8978,0.1481,2.6893,0.2091,7.7741
fCMR_Siemens_144,34,1.3216,1.8861,0.175,1.7808,0.2502,6.2146
fCMR_Siemens_068,34,2.1782,2.4025,0.3463,3.2645,0.3766,8.852
fCMR_Siemens_198,34,2.7312,1.1687,0.2136,1.5312,0.2288,4.1167
fCMR_Siemens_018,35,1.6273,3.0746,0.3049,1.811,0.319,5.0768
fCMR_Siemens_113,35,1.9824,1.9487,0.0639,7.5376,0.1156,15.6121
fCMR_Siemens_027,35,1.9163,2.0588,0.4073,3.5468,0.4462,8.0795
fCMR_Siemens_006,35,2.2833,2.0026,0.1605,3.6507,0.2113,10.5538
fCMR_Siemens_144,35,2.3504,2.5343,0.2788,1.3936,0.3453,4.5207
fCMR_Siemens_068,35,2.4089,2.1113,0.7574,1.2908,0.7714,3.7022
fCMR_Siemens_198,35,2.3849,1.6664,0.1916,1.1121,0.2217,2.8696
fCMR_Siemens_018,36,2.6071,2.2372,0.3395,1.8899,0.7549,5.3125
fCMR_Siemens_113,36,1.5838,1.4161,0.0813,6.3883,0.1148,14.204
fCMR_Siemens_027,36,1.881,2.7293,0.2181,2.8127,0.2897,8.1606
fCMR_Siemens_006,36,2.4699,2.1522,0.4031,3.6257,0.9163,11.8632
fCMR_Siemens_144,36,0.9775,2.7204,0.1441,0.6689,0.1808,3.4253
fCMR_Siemens_068,36,2.885,2.6887,0.3527,6.9068,0.3901,17.2829
fCMR_Siemens_198,36,1.1811,3.3919,0.2916,1.6865,0.3056,4.3322
fCMR_Siemens_018,37,3.0948,1.3257,0.3981,1.3852,0.4064,4.2306
fCMR_Siemens_113,37,0.9389,2.3621,0.0502,10.1181,0.0963,21.4425
fCMR_Siemens_027,37,1.1288,2.5753,0.1067,0.9572,0.2587,6.2646
fCMR_Siemens_006,37,2.5465,2.3515,0.6945,4.4159,1.3042,14.2227
fCMR_Siemens_144,37,2.4426,1.9922,0.2048,1.7015,0.2619,5.1151
fCMR_Siemens_068,37,1.4556,2.0258,0.694,3.591,0.7356,11.5529
fCMR_Siemens_198,37,2.5518,2.4928,0.1882,0.709,0.2,2.2674
fCMR_Siemens_018,38,2.9073,2.7932,0.4426,1.6221,0.9582,4.8139
fCMR_Siemens_113,38,3.0912,2.6596,0.1246,9.2325,0.145,19.5006
fCMR_Siemens_027,38,3.0813,1.5018,0.2642,1.3285,0.4028,4.8941
fCMR_Siemens_006,38,2.5116,0.8084,0.0531,4.0086,0.1745,8.4914
fCMR_Siemens_144,38,1.3332,2.48,0.15,4.2507,0.1754,9.67
fCMR_Siemens_068,38,2.1982,1.8302,0.4082,1.0283,0.4252,3.4152
fCMR_Siemens_198,38,2.537,3.5928,0.1911,1.3532,0.2363,3.9598
fCMR_Siemens_018,39,2.4095,2.479,0.2521,0.423,0.2783,1.7171
fCMR_Siemens_113,39,2.4002,2.533,0.0722,9.7769,0.1418,20.333
fCMR_Siemens_027,39,1.4451,2.3478,0.229,0.3185,0.2488,1.8384
fCMR_Siemens_006,39,0.7235,2.4725,0.221,5.5637,0.2716,12.5578
fCMR_Siemens_144,39,1.9074,1.1868,0.2081,1.6236,0.2322,4.0181
fCMR_Siemens_068,39,1.176,2.9138,0.5329,2.3631,0.56,6.6083
fCMR_Siemens_198,39,2.253,0.9411,0.1876,1.827,0.1993,4.5449
fCMR_Siemens_018,40,1.9991,2.0996,0.4035,0.5578,0.4119,3.4824
fCMR_Siemens_113,40,0.9794,3.5949,0.1206,13.8465,0.1743,31.5634
fCMR_Siemens_027,40,2.8451,3.2763,0.3674,3.0771,0.3854,10.4776
fCMR_Siemens_006,40,1.8275,2.1036,0.1805,9.3264,0.1945,19.8725
fCMR_Siemens_144,40,1.7933,1.8137,0.17,2.5821,0.2488,7.5845
fCMR_Siemens_068,40,2.4258,2.8762,0.7174,1.7598,0.7386,4.9285
fCMR_Siemens_198,40,1.7275,1.9008,0.2119,0.8676,0.2368,3.0095
fCMR_Siemens_018,41,1.7687,2.7078,0.2089,1.408,0.3086,6.1587
fCMR_Siemens_113,41,3.0574,2.0044,0.0556,5.1402,0.1256,10.8269
fCMR_Siemens_027,41,2.6144,3.0524,0.2941,0.7796,0.3588,3.3436
fCMR_Siemens_006,41,2.7747,2.9518,0.1497,4.5691,0.2005,11.4339
fCMR_Siemens_144,41,2.5366,3.1238,0.3826,0.9433,0.8711,6.7236
fCMR_Siemens_068,41,2.1055,2.9712,0.4115,4.981,0.4538,15.0978
fCMR_Siemens_198,41,2.2743,3.8973,0.2446,1.9859,0.2535,5.3246
fCMR_Siemens_018,42,3.0802,3.0268,0.3272,1.4763,0.3513,4.4516
fCMR_Siemens_113,42,1.6238,1.2684,0.1855,5.6962,0.2088,12.4752
fCMR_Siemens_027,42,2.1522,2.9904,0.1167,0.4778,0.2219,5.7946
fCMR_Siemens_006,42,2.3391,2.3146,0.4622,1.82,0.8431,6.7974
fCMR_Siemens_144,42,3.0659,1.6951,0.0716,3.5469,0.1137,8.535
fCMR_Siemens_068,42,2.9379,3.2504,0.7611,1.0138,0.7647,2.806
fCMR_Siemens_198,42,3.0427,1.259,0.1558,1.4221,0.2506,3.7846
fCMR_Siemens_018,43,2.0591,2.1164,0.2872,1.0482,0.3063,2.8594
fCMR_Siemens_113,43,2.8876,3.0975,0.1409,9.5867,0.1809,20.0098
fCMR_Siemens_027,43,1.9143,1.6371,0.2476,1.5404,0.3636,7.1228
fCMR_Siemens_006,43,3.0643,2.4084,0.3707,7.1084,0.3834,14.5233
fCMR_Siemens_144,43,2.7073,1.3698,0.1054,1.2714,0.2819,4.2591
fCMR_Siemens_068,43,0.8531,1.9193,0.6062,2.6537,0.6353,8.0159
fCMR_Siemens_198,43,2.4294,2.4157,0.2074,1.5597,0.2275,4.9022
fCMR_Siemens_018,44,1.765,2.0651,0.4492,4.0789,1.3647,9.4027
fCMR_Siemens_113,44,1.871,3.288,0.1328,8.8877,0.1499,19.1764
fCMR_Siemens_027,44,2.5158,3.0914,0.1739,2.2684,0.2614,7.1293
fCMR_Siemens_006,44,2.696,1.7515,0.1041,2.6361,0.5407,8.907
fCMR_Siemens_144,44,1.8818,1.3882,0.157,1.5588,0.2385,4.9503
fCMR_Siemens_068,44,3.0189,2.6191,0.564,0.8736,0.5853,3.8383
fCMR_Siemens_198,44,2.6007,1.6257,0.2025,1.818,0.2273,4.6378
fCMR_Siemens_018,45,2.9295,2.0472,0.4131,1.2436,0.6909,4.4316
fCMR_Siemens_113,45,2.8438,2.9065,0.047,7.854,0.1178,17.0831
fCMR_Siemens_027,45,2.37,2.4447,0.3676,4.9809,0.3838,11.5204
