subject_id,step,angle,translation,GD_EP,GD_EP_Q,GD_EP_G,CD_EP,CD_EP_Q,CD_EP_G,GD_IP,CD_IP
fCMR_Siemens_006,28,1.621,1.8878,0.2071,0.2068,0.2068,3.121,3.121,3.121,0.2806,7.84
fCMR_Siemens_144,28,3.0464,2.29,0.2153,0.4879,0.685,3.5323,3.5323,3.5323,0.7996,10.552
fCMR_Siemens_068,28,3.0011,3.5164,0.5615,0.5615,0.5615,0.707,0.707,0.707,0.5708,2.8352
fCMR_Siemens_198,28,2.4313,3.2521,0.2399,0.2398,0.2398,1.2637,1.2637,1.2637,0.2593,4.114
fCMR_Siemens_018,29,2.9371,3.8883,0.1363,0.1363,0.1363,4.0105,4.0105,4.0105,0.2425,10.8804
fCMR_Siemens_113,29,1.6392,3.1828,0.0724,0.0723,0.0723,4.917,4.917,4.917,0.153,10.9526
fCMR_Siemens_027,29,2.6518,3.3619,0.1221,0.1221,0.1221,1.742,1.742,1.742,0.1641,4.9963
fCMR_Siemens_006,29,2.8942,3.1191,0.4017,0.7219,0.8087,0.6783,0.6783,0.6783,0.8515,3.2299
fCMR_Siemens_144,29,1.8651,2.9115,0.095,0.095,0.095,1.4979,1.4979,1.4979,0.1577,5.0532
fCMR_Siemens_068,29,3.0276,3.0457,0.3686,0.3701,0.3706,1.301,1.301,1.301,0.4204,7.4035
fCMR_Siemens_198,29,1.5363,3.1075,0.3216,0.3216,0.3215,1.0043,1.0043,1.0043,0.34,3.3523
fCMR_Siemens_018,30,2.9117,3.3295,0.3333,0.3376,0.3391,1.0604,1.0604,1.0604,0.3624,3.3393
fCMR_Siemens_113,30,2.9436,1.8089,0.0337,0.0337,0.0337,7.2596,7.2596,7.2596,0.0976,16.243
fCMR_Siemens_027,30,0.8878,2.7433,0.1907,0.1907,0.1907,0.7007,0.7007,0.7007,0.2218,3.4744
fCMR_Siemens_006,30,2.1198,0.489,0.261,0.261,0.261,3.095,3.095,3.095,0.2822,7.1141
fCMR_Siemens_144,30,2.6745,2.0116,0.1679,0.1096,0.168,2.68,2.68,2.68,0.187,6.8601
fCMR_Siemens_068,30,3.0254,1.8133,0.2579,0.2578,0.2577,4.9093,4.9093,4.9093,0.3013,11.9058
fCMR_Siemens_198,30,1.7987,2.0138,0.1988,0.206,0.199,1.2634,1.2634,1.2634,0.2293,6.3626
