subject_id,step,angle,translation,GD_EP,CD_EP,GD_IP,CD_IP
fCMR_Siemens_027,26,2.4685,2.7343,0.1603,0.9136,0.1937,2.861
fCMR_Siemens_006,26,2.4882,2.0883,0.9486,0.3852,1.1825,10.43
fCMR_Siemens_144,26,2.1237,2.2949,0.2184,2.5068,0.3519,7.0638
fCMR_Siemens_068,26,2.8925,1.7255,0.9985,1.5559,1.0142,7.4595
fCMR_Siemens_198,26,1.9878,2.8874,0.3387,2.2306,0.3579,6.2157
fCMR_Siemens_018,27,1.5687,2.7388,2.3432,5.9842,2.3506,17.2691
fCMR_Siemens_113,27,1.4535,2.4271,0.14,8.4206,0.2925,20.5639
fCMR_Siemens_027,27,1.1276,2.7093,0.1636,0.7744,0.2035,3.6802
fCMR_Siemens_006,27,1.9528,0.7843,0.2519,3.7527,0.8152,14.29
fCMR_Siemens_144,27,1.3717,0.7612,0.2012,2.1848,0.23,5.4534
fCMR_Siemens_068,27,1.7233,2.5326,1.3619,0.5628,1.492,3.9413
fCMR_Siemens_198,27,3.0884,1.2515,0.202,3.4308,0.2561,8.5298
fCMR_Siemens_018,28,2.9169,2.2641,1.0796,11.604,1.2456,32.6765
fCMR_Siemens_113,28,2.2551,1.1732,0.0819,4.6691,0.1497,12.3689
fCMR_Siemens_027,28,1.9134,2.1414,0.1279,1.519,0.2512,5.286
fCMR_Siemens_006,28,1.621,1.8878,0.4823,4.4893,0.5091,11.6307
fCMR_Siemens_144,28,3.0464,2.29,0.1552,2.6858,0.264,7.9638
fCMR_Siemens_068,28,3.0011,3.5164,0.9951,3.6405,1.8069,14.0489
fCMR_Siemens_198,28,2.4313,3.2521,0.2475,1.5409,0.2618,4.6296
fCMR_Siemens_018,29,2.9371,3.8883,2.1522,7.5576,2.0754,27.0782
fCMR_Siemens_113,29,1.6392,3.1828,0.1078,7.7935,0.1548,18.5068
fCMR_Siemens_027,29,2.6518,3.3619,0.2423,0.9713,0.3095,3.679
fCMR_Siemens_006,29,2.8942,3.1191,0.2757,2.1674,0.3087,6.8821
fCMR_Siemens_144,29,1.8651,2.9115,0.179,1.4597,0.2017,5.3566
fCMR_Siemens_068,29,3.0276,3.0457,0.8174,0.4599,1.2079,3.4216
fCMR_Siemens_198,29,1.5363,3.1075,0.276,1.6721,0.2858,4.7238
fCMR_Siemens_018,30,2.9117,3.3295,2.017,20.8436,2.1392,47.5071
fCMR_Siemens_113,30,2.9436,1.8089,0.1272,10.1096,0.2417,24.8066
fCMR_Siemens_027,30,0.8878,2.7433,0.2444,1.7679,0.3184,6.9623
fCMR_Siemens_006,30,2.1198,0.489,0.1879,1.7293,0.2148,4.7739
fCMR_Siemens_144,30,2.6745,2.0116,0.2176,3.4213,0.252,7.8655
fCMR_Siemens_068,30,3.0254,1.8133,0.6863,4.517,1.172,12.8901
fCMR_Siemens_198,30,1.7987,2.0138,0.2221,0.3282,0.263,1.7603
fCMR_Siemens_018,31,2.8737,2.794,1.2313,9.0221,1.3192,26.6724
fCMR_Siemens_113,31,2.5765,2.086,0.1181,5.5115,0.1665,12.2182
fCMR_Siemens_027,31,2.5915,0.2368,0.261,0.4688,0.2684,2.2358
fCMR_Siemens_006,31,3.069,2.7241,2.2844,2.7476,1.9213,13.318
fCMR_Siemens_144,31,2.3907,3.9404,0.1552,0.3417,0.2132,2.7472
fCMR_Siemens_068,31,2.1639,2.918,0.845,2.4471,0.9276,7.5443
fCMR_Siemens_198,31,2.5281,1.3241,0.2487,1.5235,0.2846,4.867
fCMR_Siemens_018,32,3.0581,2.688,2.1912,14.8644,2.2733,32.6428
fCMR_Siemens_113,32,1.7888,2.7443,0.1764,1.8722,0.2221,4.852
fCMR_Siemens_027,32,2.5548,2.8747,0.1454,2.6894,0.2139,7.6104
fCMR_Siemens_006,32,2.9178,2.8518,0.3411,1.2357,0.8908,8.3783
fCMR_Siemens_144,32,2.4055,1.7805,0.6217,2.5038,1.2994,13.9595
fCMR_Siemens_068,32,2.3264,2.3596,1.2038,5.1564,1.6471,15.685
fCMR_Siemens_198,32,1.2908,2.6499,0.2604,1.5175,0.3156,5.8613
fCMR_Siemens_018,33,1.8664,3.0474,1.8737,21.599,2.0865,45.6874
fCMR_Siemens_113,33,2.7027,2.9494,0.1221,4.9818,0.1883,12.4777
fCMR_Siemens_027,33,2.6554,0.5593,0.2339,1.1378,0.2663,4.1909
fCMR_Siemens_006,33,1.3358,2.7896,0.8879,3.107,1.4153,12.2765
fCMR_Siemens_144,33,2.0391,2.3985,0.2443,2.2087,0.2907,7.3488
fCMR_Siemens_068,33,1.3154,3.83,0.8995,4.533,0.9538,11.674
fCMR_Siemens_198,33,2.7254,2.5748,0.2477,1.1308,0.2772,3.2543
fCMR_Siemens_018,34,2.4187,1.8465,1.4402,12.5719,1.4964,30.9179
fCMR_Siemens_113,34,1.6994,2.888,0.0889,9.0873,0.2062,22.8494
fCMR_Siemens_027,34,1.9415,0.6014,0.2921,2.5283,0.3164,6.7024
fCMR_Siemens_006,34,1.4279,1.8978,0.6358,3.9642,1.4289,13.7876
fCMR_Siemens_144,34,1.3216,1.8861,0.0983,2.6974,0.1698,6.3113
fCMR_Siemens_068,34,2.1782,2.4025,0.9557,2.7488,1.6139,9.6086
fCMR_Siemens_198,34,2.7312,1.1687,0.2075,1.9357,0.2448,6.141
fCMR_Siemens_018,35,1.6273,3.0746,2.0014,12.3185,2.0929,34.7384
fCMR_Siemens_113,35,1.9824,1.9487,0.1136,7.4557,0.1481,17.8606
fCMR_Siemens_027,35,1.9163,2.0588,0.2157,2.7405,0.2548,6.8975
fCMR_Siemens_006,35,2.2833,2.0026,0.216,3.7264,0.2389,8.1244
fCMR_Siemens_144,35,2.3504,2.5343,0.2465,1.4448,0.2651,4.1617
fCMR_Siemens_068,35,2.4089,2.1113,0.8928,1.9392,0.9156,10.2334
fCMR_Siemens_198,35,2.3849,1.6664,0.3185,1.338,0.3321,6.2153
fCMR_Siemens_018,36,2.6071,2.2372,0.5863,4.1876,1.1449,19.2801
fCMR_Siemens_113,36,1.5838,1.4161,0.0982,7.2694,0.1471,15.5258
fCMR_Siemens_027,36,1.881,2.7293,0.2485,2.408,0.2952,6.5996
fCMR_Siemens_006,36,2.4699,2.1522,0.2894,1.9976,0.8327,10.2574
fCMR_Siemens_144,36,0.9775,2.7204,0.183,0.4413,0.2118,2.2495
fCMR_Siemens_068,36,2.885,2.6887,0.6347,5.4456,1.552,15.8923
fCMR_Siemens_198,36,1.1811,3.3919,0.2947,1.7822,0.3189,5.4694
fCMR_Siemens_018,37,3.0948,1.3257,1.5679,14.3272,1.5829,32.5576
