subject_id,step,angle,translation,GD_EP,CD_EP,GD_IP,CD_IP
fCMR_Philips_065,10,2.5765,2.086,0.0933,1.3581,0.1092,3.1767
fCMR_Philips_132,10,2.5915,0.2368,0.2525,4.9603,0.2587,10.6832
fCMR_Philips_031,10,3.069,2.7241,0.1209,0.532,0.1371,1.4798
fCMR_Philips_104,10,2.3907,3.9404,0.2254,3.2815,0.3329,7.555
fCMR_Philips_094,10,2.1639,2.918,0.1568,0.5738,0.1879,1.5006
fCMR_Philips_136,10,2.5281,1.3241,0.0523,0.1611,0.1548,1.115
fCMR_Philips_087,10,3.0581,2.688,0.4379,2.7135,0.4569,6.5954
fCMR_Philips_003,10,1.7888,2.7443,0.1465,0.3422,0.1805,1.4148
fCMR_Philips_047,10,2.5548,2.8747,0.1744,2.2334,0.2306,6.4353
fCMR_Philips_057,10,2.9178,2.8518,0.2427,1.1927,0.2497,2.9602
fCMR_Philips_097,10,2.4055,1.7805,0.3743,0.3664,0.3795,1.798
fCMR_Philips_070,10,2.3264,2.3596,0.3443,1.1668,0.3667,3.0797
fCMR_Philips_068,10,1.2908,2.6499,0.2171,1.2781,0.2264,3.8524
fCMR_Philips_117,11,1.8664,3.0474,0.072,0.8444,0.1571,2.3208
fCMR_Philips_002,11,2.7027,2.9494,0.1872,1.1844,0.201,3.1199
fCMR_Philips_052,11,2.6554,0.5593,0.1516,0.6392,0.186,1.964
fCMR_Philips_123,11,1.3358,2.7896,0.1343,0.1002,0.1716,1.1338
fCMR_Philips_079,11,2.0391,2.3985,0.0513,0.1825,0.1205,0.8016
fCMR_Philips_041,11,1.3154,3.83,0.0191,0.2547,0.066,0.9682
fCMR_Philips_090,11,2.7254,2.5748,0.1702,0.4149,0.1841,1.5615
fCMR_Philips_114,11,2.4187,1.8465,0.1072,2.7041,0.121,6.149
fCMR_Philips_065,11,1.6994,2.888,0.1702,2.1002,0.1993,5.1518
fCMR_Philips_132,11,1.9415,0.6014,0.215,4.5098,0.2296,10.1062
fCMR_Philips_031,11,1.4279,1.8978,0.1488,0.2578,0.1727,1.4678
fCMR_Philips_104,11,1.3216,1.8861,0.0762,1.8512,0.1608,4.6762
fCMR_Philips_094,11,2.1782,2.4025,0.082,0.9019,0.1091,3.006
fCMR_Philips_136,11,2.7312,1.1687,0.0634,0.0882,0.1042,0.7828
fCMR_Philips_087,11,1.6273,3.0746,0.2927,1.3099,0.2955,3.2297
fCMR_Philips_003,11,1.9824,1.9487,0.2229,0.1248,0.2458,0.769
fCMR_Philips_047,11,1.9163,2.0588,0.2424,0.8453,0.3052,2.9989
fCMR_Philips_057,11,2.2833,2.0026,0.249,1.165,0.262,2.9521
fCMR_Philips_097,11,2.3504,2.5343,0.3138,0.3408,0.3569,1.2709
fCMR_Philips_070,11,2.4089,2.1113,0.3247,1.1492,0.3315,3.5596
fCMR_Philips_068,11,2.3849,1.6664,0.2308,0.5182,0.2592,1.5461
fCMR_Philips_117,12,2.6071,2.2372,0.0738,1.1012,0.1584,2.6527
fCMR_Philips_002,12,1.5838,1.4161,0.1607,1.1122,0.1772,3.0972
fCMR_Philips_052,12,1.881,2.7293,0.1292,0.2241,0.1473,1.0067
fCMR_Philips_123,12,2.4699,2.1522,0.0878,0.7196,0.1274,2.3349
fCMR_Philips_079,12,0.9775,2.7204,0.1595,0.2362,0.1876,1.2289
fCMR_Philips_041,12,2.885,2.6887,0.0261,0.3742,0.0734,1.6348
fCMR_Philips_090,12,1.1811,3.3919,0.0661,1.5085,0.1107,3.4096
fCMR_Philips_114,12,3.0948,1.3257,0.1472,2.1968,0.1588,4.8902
fCMR_Philips_065,12,0.9389,2.3621,0.0701,1.5278,0.1096,3.645
